Fecha,Liquidez de las sociedades creadoras de depósito (fin de periodo) - Liquidez en Soles (millones S/)
Jun14,136894
Jul14,140976
Ago14,141918
Sep14,141779
Oct14,142719
Nov14,143227
Dic14,151445
Ene15,148877
Feb15,148046
Mar15,145775
Abr15,144858
May15,144907
Jun15,144852
Jul15,147345
Ago15,145180
Sep15,145095
Oct15,146367
Nov15,148132
Dic15,156170
Ene16,153332
Feb16,152969
Mar16,151792
Abr16,152686
May16,154805
Jun16,156955
Jul16,161997
Ago16,161220
Sep16,161204
Oct16,161435
Nov16,164462
Dic16,170211
Ene17,169017
Feb17,167979
Mar17,169277
Abr17,168953
May17,171814
Jun17,173702
Jul17,176919
Ago17,176620
Sep17,180275
Oct17,181738
Nov17,184726
Dic17,191498
Ene18,192458
Feb18,193010
Mar18,194496
Abr18,192777
May18,194195
Jun18,195456
Jul18,199299
Ago18,201853
Sep18,201667
Oct18,204279
Nov18,207634
Dic18,215028
Ene19,212738
Feb19,210870
Mar19,214692
Abr19,213352
May19,215186
Jun19,216390
Jul19,221639
Ago19,223945
Sep19,223319
Oct19,225172
Nov19,230381
Dic19,236523
Ene20,239204
Feb20,240225
Mar20,244802
Abr20,254282
May20,275528
Jun20,285352
Jul20,296738
Ago20,299646
Sep20,299949
Oct20,301230
Nov20,303193
Dic20,313028
Ene21,315391
Feb21,316394
Mar21,315948
Abr21,307364
May21,302472
Jun21,299745
Jul21,311693
Ago21,312009
Sep21,310308
Oct21,307635
Nov21,305927
Dic21,310425
Ene22,306364
Feb22,302788
Mar22,301780
Abr22,297844
May22,295648
Jun22,295240
Jul22,303874
Ago22,304338
Sep22,310670
Oct22,310377
Nov22,306216
Dic22,312239
Ene23,313659
Feb23,310255
Mar23,308667
Abr23,306523
May23,306706
Jun23,306689
Jul23,311868
Ago23,311765
Sep23,312540
Oct23,313357
Nov23,315382
Dic23,324779
Ene24,324714
Feb24,323390
Mar24,321394
Abr24,321458
May24,330167
Jun24,338476
Jul24,347641
Ago24,353942
Sep24,357426
Oct24,361848
Nov24,361702
Dic24,366683
Ene25,366011
Feb25,363620
Mar25,360741
Abr25,356494
May25,365512
Jun25,362154
Jul25,371020
Ago25,371030
Sep25,371125
